Geçmişte balkanlarda, Kafkasya ’da yaşanan sıkıntılarda hangi samimiyetle el uzattıysak, bugün de Irak ’ta, Suriye ’de Filistin ’de aynı anlayışla hareket ediyoruz.
Başvurusunun kabul edilip edilmediğine dair, elektronik postayı okumak için, saatlerce uzaklıktaki şehre yürüyerek giden cemil, bugün Erciyes üniversitesinde eğitimini sürdürüyor.
Türkiye’nin güçlenmesi, kalkınması, gelişmesi, kendi vatandaşlarımızla birlikte tüm dost ve kardeş toplumlar için de yeni bir ümit ışığının yanması anlamına geliyor.
“GECE UZAYDAN DÜNYAYA BAKILDIĞINDA…” Altı petrol , altın, elmas daha pek çok maden kaynayan toprakların üzerindeki insanların, sefalet içinde yaşadığı düzeni kesinlikle adaleti bulmuyoruz.
İşte buyurun, bakın sınırımızda Tel Abyad’da, Arapları ve Türkmenleri uçaklarla vuran batı, ne yazık ki onların yerine terör örgütü PYD ve PKK’yı yerleştiriyor.
Okudu ya, zulmü alkışlayamam, zalimi asla sevemem, gelenin keyfi için geçmişe kalkıp sövemem.
İdeal değil, hamd olsun ilk çeyrekte sağladığı yüzde 2,3’lük büyüme oranıyla, dünyanın 14’ncü sırasında yer aldı.
HERKES EGOLARINI BİR KENARA KOYMALI Türkiye’yi hükümetsiz, türkiye’yi başsız bırakan, egolarına mahkum olanlar, ne tarihe ne de milletimize bunun hesabını veremezler.
Gemmel ayrıca bu geni taşıyan erkeklerin, beyninin, kas yapısının, enerji seviyesinin ve kalp yapısının daha zayıf olduğunu ve kadınlardan 3 ya da 4 yıl daha az yaşadığını söyledi.
Selin'e gelirsek, o yaşını yaşayan, mantıklı, kendi ayakları üstünde durabilecek bir genç kız.
ÜNLÜ SPOR ADAMLARI GLORIA SPORTS ARENA'DA Deneyimli sporcuların katılımı ile Gloria Sports Arena'da gerçekleşmekte olan şampiyonayı, Euroleague Hakem Direktörü Costas Rigas, FIBA Spor Direktörü Carl Jungebrand, Adriyatik Basketbol Ligi - ABA Liga CEO'su Roman Lisac gibi ünlü spor adamları takip ediyor.
ABD basınına konuşan 42 yaşındaki De La Hoya, 2009'da son verdiği boks hayatına yeniden dönmek istediğini belirterek," ""Bu yönde bir isteğimin olmasının tek nedeni"," yeniden dövüşmeyi ve ringlere çıkmayı çok özlemem"" diye konuştu."
Bağdat Caddesi'nde iPhone 5 kuyruğu Turkcell'in bugünün ilk saatinde başlattığı iPhone 5 satışına yoğun ilgi gösterildi.Turkcell açıklamasına göre, Turkcell, Apple'ın iOS 6 işletim sistemine sahip son akıllı telefonu IPhone 5'i, 13 Aralık'ı 14 Aralık'a bağlayan dakikadan itibaren müşterileriyle buluşturdu.
Açıklamada konuyla ilgili görüşlerine yer verilen Turkcell Genel Müdür Yardımcısı Emre Sayın, şunları kaydetti: 'Bu gece burada açıkça görüyoruz ki, teknolojiyi yakından takip eden, yenilikleri hızla hayatına dahil eden bir nüfusumuz var.
Sözcü'ye konuşan MHP Genel Başkanı Devlet Bahçeli , CHP lideri Kemal Kılıçdaroğlu ’nun, “Başbakanlık koltuğunu Bahçeli’ye vermeye hazırım” önerisini, “Bunun üzerinde fazla yorum yapmak şu an için fazla mümkün gözükmüyor” diyerek reddetti.
Bahçeli, şu mesajları verdi: BAŞBAKANLIK ÖNERİSİ Kemal Kılıçdaroğlu Bey seçim sonuçlarına göre CHP’nin mutlaka bir hükümet olma ihtiyacı içerisinde olduğunu esas alarak koalisyon modelleri üzerinde dururken, ‘Nasıl bir koalisyon oluşabilir’ konusunda, dikkatli davranmak kaydıyla kamuoyuyla paylaşıyor.
Etnik temelli ayrışmanın, mezhep temelli bölünmenin, birçok olayın getirmiş olduğu son durum, toplumsal yarılmadır.
YSK, dün AK Parti 'nin Diyarbakır, Van ve Giresun, HDP'nin ise Elazığ'daki seçim sonuçlarıyla ilgili yaptığı itirazları reddetmişti.
Skype masaüstü uygulamasına gerek duymadan web üzerinden anlık mesajlaşma, görüntülü ve sesli görüşmeye olanak sağlayan bu web servisi Internet Explorer, Chrome, Safari ve Firefox tarayıcılarını destekliyor.
Tıbbi Rehabilitasyon Kongresi Başkanı Prof. Dr. Vesile Sepici, 2006 yılından beri Ankara'da nörorehabilitasyon konularının ağırlıklı olarak tartışıldığı kongrede, ortopedik rehabilitasyon ve ağrı konuları da etraflı olarak, güncel bilgiler eşliğinde inceleneceğini belirtti.
Hayta İsmail lakaplı Ahmet Arıman," Hababam Sınıfı'nda ""Mahmut Hoca"" karakterini canlandıran Münir Özkul'a festival kapsamında ödül verecek olmanın kendileri için bir onur olduğunu belirterek"," duygularını ""Keşke yanımızda olsaydı", keşke burada olabilseydi.
Başta Ertem Eğilmez, Kemal Sunal, Adile Naşit," Dom Dom ve Tulum olmak üzere hayatını kaybeden diğer arkadaşlarımızı da rahmet ve saygıyla anıyoruz"" dedi."
İSMAİL HAKKI PEKİN ROPÖRTAJI... Dönemin Genel Kurmay İstihbarat Daire Başkanı İsmail Hakkı Pekin'in bir gazeteye verdiği röportajda," ""İnternet andıcı"" belgeleriyle ilgili yaptığı açıklamada", Dursun Çiçek'e yönelik 'Bu tür işlerle uğraşıyorsunuz da başımızı belaya sokacaksınız' şeklindeki ifadesinin hatırlatılması üzerine Çiçek," ""Oradaki söz konusu olan belge internet andıcı."
Bu sonuca göre 2014 yılı merkezi yönetim bütçesinden Ar-Ge faaliyetleri için gerçekleştirilen harcamaların Gayrisafi Yurtiçi Hasıla içerisindeki oranı yüzde 0,32, merkezi yönetim bütçe harcamaları içerisindeki payı ise yüzde 1,12 oldu.
Bunu yüzde 21 ile savunma, yüzde 16,2 ile endüstriyel üretim ve teknoloji ve yüzde 9,1 ile genel bilgi gelişimi (diğer kaynaklardan finanse edilen) takip etti.
Çayyolu bölgesine de çok büyük eserler kazandırdıklarını belirten Yaşar," ""Bu düzenleme", Yenimahalle'yi almak için yapılıyorsa, takdir edersiniz ki biz yatırımlarımızla sadece Ankara değil tüm Türkiye'de ses getiren bir belediye olmamızdan dolayıdır.
Alec Baldwin, Chris Rock, Tina Fey gibi komedyenleri görünce rahatlıyor, gevşeyip tadını çıkarıyorsunuz.
İlk seansta bankacılık endeksi yüzde 0,24 değer kazandı, holding endeksi ise yüzde 0,33 düştü.
De Niro, bugüne kadar Francis Ford Coppola, Merly Streep, Marty Scorsese gibi dünyaca ünlü yeteneklere ödüllerini takdim etmişti.
İçinde bulunulan salonun ilk programını yaptıklarını belirten Göksu, Esenler'de yaşayan vatandaşların, toplumun var olan değerleri, ustaları ve ilim adamlarıyla tanışması için bu programları hazırladıklarını dile getirdi.
"Ama buna şaşırdım"" sözleriyle yorumlayan Dr. Golobic"," bakterilere karşı yapmanız gerekenleri ise ""elinizi", yüzünüzü iyice yıkamak," bıyığınızı burmamak ve sakalınızla oynamamak"" olarak sıraladı."
Galada AR Şirketler Grubu CEO'su Hüseyin Arslan, FULL Art Prize fikrinin bir akşam yemeğindeki sohbet sırasında çıktığını belirterek," şunları söyledi: ""Tabii ki önce futbolu konuşursunuz", sonra Türkiye'nin meselelerini çözmeye çalışıyorsunuz.
Thorn'a göre, otçul hayvanların kemiklerinde bulunan bu maddeye," ""Australopithecus bahrelghazali""lerin kemiklerinde de rastlanılması", o dönemlerde bozkır bitkileri ile beslenildiğinin önemli bir kanıtı.
2.8 milyon yıl öncesinden daha da eskiye bakacak olursak, 4.4 milyon yıl önce yaşamış olan ilk insan türlerinden," ""Australopithecus bahrelghazali""lerin ataları"," ""Ardipithecus ramidus""lar incelendiğinde ise böyle bir bulguya rastlanılmadı."
Aşı kanserden yüzde 80 koruyor Rahim ağzı kanserine yönelik yapılan HPV aşısı, bir kadını rahim ağzı kanserinden yüzde 100 olmasa da yüzde 70-80 oranında koruyor Jinekolojik Onkoloji Derneği Başkanı Prof. Dr. Sinan Berkman," ""Rahim ağzı kanserine yönelik yapılan HPV aşısı", bir kadını rahim ağzı kanserinden yüzde 100 olmasa da yüzde 70-80 oranında koruyor.
Dr. Danaoğlu, 45 yaşı geçenlere de uyarıda bulunarak," ""45 yaşın üzerindekiler", ani ısı düşmesinin yaşandığı bugünlerde özellikle soğuk havada yürürken ortaya çıkan göğüs ağrılarını ciddiye alsın.
Göğüs ağrısına kolda ağrı, uyuşma, çenede uyuşma gibi şikayetler eşlik ediyorsa, o kişilere mutlaka bir doktora görünmelerini tavsiye ediyoruz.
Gittiği yol, cesareti, aldığı risk, bu riski almaya kalıplarına rağmen gönüllü olmasını çok beğeniyorum.
Özgürleşme, hayatının, hatta ruhunun zincirlerinden kendi eliyle kurtulması hikâyesi, bu nedenle çok özel.
Başrollerini Mete Horozoğlu (sağda), Hazar Ergüçlü ve Didem Balçın’ın paylaştığı Açlığa Doymak’ta Ali Sürmeli, Musa Uzunlar, Lale Mansur gibi isimler yer alıyor.
Büyükşehir Belediyesi Başkan Vekili Zihni Aldırmaz'ın başlattığı, 'Kartlarınız Engelsiz Olsun' kampanyasına, daha önce de Kalkınma Bakanı Cevdet Yılmaz, destek verdiğini açıklamıştı.
Bilkent Otel'de 22-23 ve 24 Kasım'da gerçekleşecek konserlerde, Billy Branch ve grubu The Sons Of Blues, Zora Young, Smokin' Joe Kubek ve Bnois King ile Cedric Burnside performans sergileyecek.
Marmaris ve Fethiye ilçelerimizde sahil şeridinde halkımıza ve yerli-yabancı turistlere hizmet vermekte olan 2 adet ATV acil sağlık aracı, Bodrum’da kara ambulanslarıyla ulaşmada zorluk çekilen noktalarda kullanılan 2 adet Scooter acil sağlık aracı, Köyceğiz gölü kıyılarındaki yerleşim yerleri ile Dalyan kanalı ve İz tuzu Plajı’nın da dahil olduğu, karadan ulaşımın güçlükle yapılabildiği bölgelerde kullanılan 1 adet Deniz Botu ile birlikte toplamda 74 acil sağlık aracımızla hizmet veriyoruz” diye konuştu.
İlk seansta bankacılık endeksi yüzde 2,15, holding endeksi ise yüzde 1,05 değer kazandı.
Federal Bilgi İşlem Standardı (FIPS) sertifikası, ABD ve Kanada hükümetleri de dahil olmak üzere en üst seviye güvenliğe tabi tutulan kurumlar, yasal düzenlemelere tabi şirketler ve hassas bilgi ve verileri kullanan kuruluşlara, BlackBerry 10 işletim sistemine sahip akıllı telefonlarda saklanan verilerin güvenliği konusunda güven veriyor.
Bu standart, hassas veri alan, depolayan, transfer eden veya paylaşan ABD hükümeti kurumları ve yasal düzenlemelere tabi işletmeler tarafından kullanılacak ürünlerin sertifikalandırılması için Kriptografik Test Validasyon Programı ( CMVP) aracılığı ile geliştirilmiştir.
Sağlık Bakanlığı son günlerde halk arasında Antakya biberi, Samandağ biberi, mango hapı, elma krom kapsülü gibi ürünleri incelemeye aldı.
Sağlık Bakanlığı, bazı internet haber sitelerinde yayınlanan, İnönü Üniversitesi Tıp Fakültesi Adli Tıp Ana Bilim Dalı Öğretim Üyesi Prof. Dr. Osman Celbiş'in, içinde yasaklı madde bulunan zayıflatma ürünleri ile ilgili Bakanlığın denetim yapmadığı iddiası ile ilgili haberlerle hakkında yazılı açıklama yaptı.
Uluslararası Futbol Federasyonları Birliği'nin (FIFA) internet sitesindeki habere göre, Afrika Futbol Konfederasyonu (CAF), Afrika Uluslar Kupası'nda mücadele eden Senegal'i, Fildişi Sahili ile yapılan play-off maçındaki şiddet olayları nedeniyle kupadan men etti.
Yeni LG G4’ün kamerasındaki Manuel Mod ise kullanıcıların, pozlama süresi, ISO, odaklama ve beyaz ayarı gibi parametreleri en ince ayrıntısına kadar düzenlemesine imkan veriyor.
"Chiavari ile La Spezia arasındaki 4. etap sonunda genel klasman liderine verilen ""pembe mayo""yu giyen ve 13. etap (Fabio Aru) dışında bir daha kimseye vermeyen Tinkoff-Saxo takımının İspanyol bisikletçisi Alberto Contador", etabı, liderin 18 saniye arkasında bitirerek, toplamda elde ettiği 88 saat 22 dakika 25 saniyelik derecesiyle genel klasman zaferini kutladı.
Ameliyatı gerçekleştirenlerden Profesör Frank Graewe," Güney Afrikalı kişinin ""iyi", kaliteli ereksiyonları olduğunu," boşaldığını ve kız arkadaşıyla sıkça seks yapabildiğini"" açıkladı."
Daha önce Roma, Çin, Fransa gibi ülkelerde yapılan kongre, bu yıl 12. kez Türkiye de gerçekleşiyor.
Uzun bir süredir kongre içinde yer almaktan mutluluk duyduğunu ifade eden Avrupa Üroloji Derneği Başkan Yardımcısı Prof. Dr. Walter Artibani, “Dünyada on binlerce kişi böbrek, idrar yolları, prostat gibi organlarla ilgili sağlık problemleri yaşıyor.
Savcı Alim Yaşar, kararında, eylemin yapıldığı yerin yasaklı alanlar içerisinde olmadığını, işçilerin de başkalarının iş ve çalışma özgürlüklerini ihlal etmediğini kaydetti.
Polat, nakil bekleyen hasta sayısının her geçen gün arttığına dikkati çekerek, Avrupa'da organ nakillerinin yüzde 80'inin kadavradan, yüzde 20'sinin canlı donörlerden yapıldığını belirtti.
İstanbul Hazırgiyim ve Konfeksiyon İhracatçıları Birliği (İHKİB) Başkanı Hikmet Tanrıverdi, kanserojen içerikli ürünlerin insan sağlığını ciddi boyutlarda tehdit ettiğini belirterek," ""Gümrük ve Ticaret Bakanlığı'nın son 5 yıllık denetim rakamlarına göre 71 bin 316 ürüne el konuldu"," firmalara 3 milyon TL para cezası verildi"" dedi."
Tanrıverdi, dünyada bazı üretici firmaların aşırı kar hırsının tüketici için bu riski çok fazla artırdığını ifade ederek, kök boyanın yerine geçen azo boyar gibi zararlı kimyasalların, izin verilen sınırın üzerinde kullanılmasının çocuklar başta olmak üzere tüm insanların sağlığını tehdit ettiğini söyledi.
'BEBEK ÜRÜNÜ, AYAKKABI, OYUNCAK...' Yerli üretimin büyük ölçüde kontrol altına alındığına işaret eden Tanrıverdi," şunları kaydetti: ""Tehdit özellikle ithal ürünlerde çok büyük."
"Rekabette bir zamanlar sadece fiyat/maliyet belirleyiciydi.
Son yıllarda kalite ön plana çıktı diyen Tanrıverdi", kaliteden, kumaşın dokusunun yanı sıra ürünün sunduğu konforu, insana ve çevreye zararlı olup olmadığını anladıklarını söyledi.
Özdemir," ""çağın vebası"" olarak nitelendirilen kanserin", tüm insanlığı tehdit eder hale geldiğini ifade ederek, denetimsiz ve kontrol dışı üretimin bu hastalığın en önemli tetikleyicileri arasında yer aldığını kaydetti.
Kuzey Akım’da edinilen deneyim, doğalgazın Baltık Denizi üzerinden taşınmasının AB enerji ihtiyacının karşılanması için ekonomik, teknik ve çevresel bakımlardan güvenilir bir çözüm olduğunu gösterdi,” ifadelerini kullandı.
Royal Dutch Shell plc CEO’su Ben van Beurden ise, “Doğalgazın Avrupa enerji bileşiminde sahip olduğu önemli rolü sürdürmesi beklendiğinden, bilhassa Avrupa’nın yerli doğalgaz üretimi düşerken, enerji talebinin karşılanması için yeni projeler büyük önem taşıyor” ifadelerini kullandı.
NOAA uzmanları, Güneş’teki faaliyetin çok güçlü olduğunu, radyasyon fırtınasının olağandan daha süratli bir şekilde Dünya’ya ulaştığını, 2005 Eylül’ünden beri görülen en şiddetli patlama ile karşılaşmış olabileceklerini kaydetti.
Başarılı hoca, daha önce de yapmış olduğu bir açıklamada, Arda Turan'ın özellikle gol atma tekniğini geliştirmesi gerektiğine dikkati çekerek," ""Karşımızda farklı bir futbolcu olduğu gerçek."
Son 5 yıldır üretimden satışa, ihracattan ürün yelpazesine kadar her alanda istikrarlı bir büyüme kaydeden Marmarabirlik, İstanbul Sanayi Odası’nın (İSO) 500 Büyük Sanayi Kuruluşu araştırmasının sonuçlarına göre, 2014 yılında da yükselişini sürdürdü.
Marmarabirlik Yönetim Kurulu Başkanı Hidamet Asa, Marmarabirlik’in Türkiye’nin en büyük sanayi kuruluşlarından oluşan ISO 500 listesinde yer almasının gurur verici olduğunu belirterek, “Marmarabirlik, 2014 yılında bir önceki yıla göre ciro bazında yüzde 17’lik artışla 15 sıra birden yükselerek 433. sıradan 418. sıraya yerleşmiştir.
Gıda firmalarının ortalama öz kaynak karlılığı yüzde 14,5, Marmarabirlik’in öz kaynak karlılığı ise yüzde 15,2 olarak gerçekleşmiştir.
Türkiye’de yılda ortalama 900 kişinin boğularak yaşamını yitirdiği, dünyada ise sayının 140 bine çıktığı bilgisini veren Rodoplu, boğulmadan hemen sonra yapılması gerekenler ne kadar önemliyse, korunma amaçlı tedbirlerin de o kadar önemli olduğunu hatırlattı.
Yüzme, kurtarma, ilk yardım ve temel yaşam desteği bilgisinin önemine değinen Rodoplu, alkol alımının ardından tekne gezisinin suda boğulma olasılığını artırdığını da söyledi.
SUDA BOĞULMALARIN ÖNLENMESİ İÇİN... Suda boğulmanın en sık görüldüğü yaş grubunun 1 yaşının altındaki çocuklar ve ergenlik çağındaki erkekler olduğunu aktaran Rodoplu, alınması gereken önlemleri şöyle sıraladı: - Su üstünde ya da su kenarında bulunan ve bulunması gereken herkesin yüzme, kurtarma, ilk yardım ve temel yaşam desteği bilgisinin olması gerekir - Yüzme havuzlarında çalışan personelin kurtarma ve temel yaşam desteği eğitimleri tam olmalıdır ve temel yaşam desteği eğitim sertifikaları her yıl yenilenmelidir.
Soner Demirtaş, sabah seansında ilk turda Fin rakibi Henri Selenius u 4-0, &ccedil;eyrek finalde Azerbaycanlı Cebrail Hasanov u tuşla ge&ccedil;meyi başarmış, yarı finalde de Bulgar Kiril Terziev i 3-1 lik skorla saf dışı bırakarak adını finale yazdırmıştı.
Devrime inanmak ve onu yaşayıp yaşatmak yüce değerlerini benimsemek, çoğulcu medeni ve gücünü halkadan alan bir devlet kurmak, Suriye toprağının, halkını ve Türkmentoplumunun birliğini sağlamak ve yeni Suriye'yi kurarken tüm Suriye'deki topluluklarla çalışmaktır amacımız.
Dr. Hakan Özcan, “Teknoloji çağında, tıp alanında da önemli gelişmeler oluyor, bu gelişmeleri yakından takip ederek Samsun ve Bölge halkına en iyi hizmeti sunmaya çalışıyoruz.
Asa, sofralık zeytinde kilogram başı 2 lira maliyetin yanı sıra her yıl girdi maliyetlerinde yaşanan artışın üreticileri olumsuz etkilediğini belirterek," şunları kaydetti: ""Yağlık zeytin üretiminde bakım", hasat ve işleme masrafları daha az.
450 bin ton zeytin üretiminin kayıt altına alınması, ilk üreticiden son tüketiciye kadar en az 3 defa katma değer sağlayacak, dolayısıyla her aşamada alınacak vergi ve stopajlar yönünden bakıldığında, devletin kasasına gelir sağlanmış olacaktır.
Meclis takvimini geçen hafta düzenleyen AK Parti, Genel Kurulu 6 - 15 Kasım 2012 tarihleri arası aralıksız Cuma, Cumartesi, Pazar ve Pazartesi günleri de dâhil olmak üzere çalışacak.
Yönetmenin sözcüsü, hayvan ölümleri yaşandığını, ancak film çekimi sırasında hiçbir hayvana zarar verilmediğini, bazılarının doğal sebeplerle öldüğünü söyledi.
Burada ilk antrenörüm İlyas İlter’e, Fenerbahçe’de bana abi, kardeş, baba gibi olan Tuncay Tavukçu’ya da teşekkür ediyorum.
İhracat yolculuğunda kilit nokta Zaho İpek, eriğin Irak başta olmak üzere Mısır, Ürdün, Suriye gibi Ortadoğu ve Kuzey Afrika ülkelerine gönderildiğini dile getirdi.
Caton, başlangıcı felaket olan MobileMe üzerinde çalışan bütün ekibin sistemin henüz hazır olmadığını ve bunun olacağını bildiğini, yönetime de bu durumu bildirdiğini belirterek, Jobs’un yine de projenin zamanında piyasaya sürülmesini talep ettiğini söyledi.
2011'de toplam 1.2 milyondan fazla Hollandalı turistin Türkiye'yi ziyaret ettiği bilgisini veren Babacan, krizin başladığı 2008-2009 yılları öncesinde kamu finansman kontrolü, sosyal güvenlik, sağlık hizmetleri ve diğer tüm alanlarda tedbirler alındığını anımsattı.
Siyasi işler, Hukuk, Ekonomi ve Dış Politika konusunda oluşturulan komisyonlar, olası bir koalisyon durumunda ele alınacak taslak protokolü hazırlamaya başladı.
OYA GÖRE BAKANLIK… Öte yandan, AK Parti'nin üst yönetim kademesinde yapılan değerlendirmelerde, MHP ile koalisyon kurulması durumunda 6 bakanlık, CHP ile yapılması durumunda ise 8 bakanlık teklif edilmesi görüşü öne çıktı.
Bu endişeyi yaşarken, gazetelerden, Türkiye Futbol Federasyonu (TFF) Başkanı Yıldırım Demirören'in Macaristan maçının kazanılması durumunda futbolculara 60'ar bin lira vadettiğini öğrendiğini belirten İlhan Cavcav, haber nedeniyle yaşadığı üzüntüyü dile getirdi.
Fizik Tedavi ve Rehabilitasyon Uzmanı Dr. Gülseren Kayalar, özellikle sıcak yaz günlerinde daha sık görülen, iş performansını ve sosyal yaşamı olumsuz etkileyen kronik yorgunluk sendromu nun," sadece dinlenerek ve tatil yaparak geçmediğini belirterek ""Bu rahatsızlıkla baş etmek için bazı önlemler alarak yaşam tarzı değişikliği yapılması gerekiyor."
Kronik yorgunluk sendromu, en az 6 ay süren ve sebebi bilinmeyen aşırı yorgunluğa yaygın kas eklem ağrısı, uyku bozukluğu, dikkat dağınıklığı ve baş ağrısının eşlik ettiği tedavisi zor bir hastalıktır.
Ayrıca, beceri isteyen işlerde yavaşlama, planlama, organizasyon ve problem çözme gibi yeteneklerde gerilemenin ortaya çıkmasına sebep olmaktadır.
Uyku öncesinde kafeinli, alkollü içeceklerden, nikotinden, aşırı yağlı yiyeceklerden ve aşırı aktiviteden kaçınılmalıdır.
Yüksekdağ, vatandaşlarla ilk iftarda bir arada olmak için kente geldiklerini ve bundan sonra da Vanlılarla kazandıkları zaferin yolundan ilerlemeye ve kazanmaya devam edeceklerini vurgulayarak," şöyle konuştu: ""Tüm halkımızla birlikte sevinmeye", sevinçlerimizi paylaşmaya devam edeceğiz.
Yüksekdağ, bütün siyasi partilerin mutlaka halkın söylediklerini dinlemesi gerektiğini dile getirerek, şöyle davam etti: 'Bundan sonra da asla kapatan değil," yeni kapılar açan parti oluruz' ""Önümüzdeki kısa süre içinde koalisyon görüşmelerinin tamamlanacağını ve Türkiye’nin bir hükümetle yoluna devam edeceğini düşünüyoruz."
Buradan, Mecidiyeköy-Balmumcu-Boğaz Köprüsü, Beylerbeyi-Üsküdar-Harem istikametinde pedal çeviren bisikletliler, Kadıköy Meydanı'na ulaştı.
Gazi Üniversitesi Tıp Fakültesi İç Hastalıkları Anabilim Dalı Öğretim Üyesi Prof. Dr. İlhan Yetkin, Yetkin, Türkiye'de 18 ile 20 bin civarında 18 yaş altı, 11 milyon civarında da 18 yaş üstü diyabetli hasta olduğunu söyledi.
Diyabetin organ kayıpları, cinsel sorunlar, körlük gibi birçok tehlikeli sonucu olduğuna işaret eden Yetkin, Birleşmiş Milletler'in raporunda gelecek nesillerin diyabet nedeniyle bir önceki nesilden daha kısa yaşayacağına yönelik bir öngörü bulunduğunu vurguladı.
Karbonhidrat, protein, yağ nedir, onlara öğretiyoruz.
Yetkin," ""Amacımız", herhangi bir günde yan yana gelemeyen ama sorunu ortak insanların bir şekilde bir araya getirilmesi," sorunların tartışılması ve çözüm yollarının araştırılmasıdır"" diye konuştu."
